Round,Avg_Loss,Avg_Reward,Avg_Q_Value,Epsilon,Duration,Total_Steps
1,0,0,0,1.0,0.03200173377990723,0
2,0,0,0,1.0,0.021997451782226562,0
3,0,0,0,1.0,0.0820000171661377,0
4,0,0,0,1.0,0.03000187873840332,0
5,0,0,0,1.0,0.02899909019470215,0
6,0,0,0,1.0,0.0429995059967041,0
7,8.135740041732788,-1.1968750357627869,0.009051928296685219,0.990025,0.02899956703186035,2
8,7.527656197547913,-1.2050781399011612,-0.1964566078968346,0.9511101304657719,0.05100059509277344,10
9,6.477434078852336,-1.1622396210829418,-0.6363669633865356,0.9229311239742362,0.03699946403503418,16
10,7.466630379358928,-1.3393229444821675,-0.9980743626753489,0.8955869907338783,0.03900289535522461,22
11,7.993060793195452,-1.3908482108797346,-1.0949472870145525,0.8647077305675338,0.046997785568237305,29
12,7.673087517420451,-1.3804687758286793,-1.1147385636965434,0.8390886103705794,0.040000200271606445,35
13,6.53340589083158,-1.3223557839026818,-1.4993863564271193,0.7861544476842928,0.08599686622619629,48
14,5.129923015832901,-1.384765662252903,-2.582752510905266,0.7255664080186093,0.10499954223632812,64
15,3.1647651036580404,-1.2769792000452678,-3.490082057317098,0.6730128848950395,0.11400198936462402,79
16,1.5336400578098912,-1.0772177634700653,-4.394026779359387,0.5761543988830038,0.22700023651123047,110
17,1.0495183978761946,-1.0535714541162764,-5.103772946766445,0.5371084840724134,0.0950002670288086,124
18,0.6459257483482361,-0.8475000143051148,-5.447248077392578,0.5238143793828016,0.03699922561645508,129
19,0.8458539681001143,-1.148011408068917,-5.47831054167314,0.49571413690105054,0.07699990272521973,140
20,0.4623146109109701,-1.1223474006320155,-6.164271077444387,0.3995984329713264,0.3249988555908203,183
21,0.3146367073059082,-1.1494791905085247,-6.777530709902446,0.37627099809304654,0.07600116729736328,195
22,0.2826587468385696,-0.8665625095367432,-6.85456018447876,0.3669578217261671,0.056998491287231445,200
23,0.27100944402627647,-1.1315918136388063,-7.011492669582367,0.3125753549412418,0.22500252723693848,232
24,0.22235755622386932,-1.0579963291392607,-7.161344416001263,0.28704309604425327,0.11799764633178711,249
25,0.19694895060224968,-0.9872159172188152,-7.185326056046919,0.2570720625972084,0.16299962997436523,271
26,0.1688905954360962,-0.9927734360098839,-7.193671882152557,0.24696734223472733,0.05800318717956543,279
27,0.15136426107751,-1.1284722420904372,-7.334357738494873,0.23607350863684065,0.06399941444396973,288
28,0.16184869557619094,-0.9870312551657359,-7.4412351449330645,0.2031139149609751,0.21799731254577637,318
29,0.1425490714609623,-0.9271701408757104,-7.625062916013929,0.18559023879528855,0.13200020790100098,336
30,0.14741471856832505,-0.9356250286102294,-7.629545974731445,0.18099664897669618,0.03800010681152344,341
31,0.13687614310118887,-1.011284738779068,-7.914966768688625,0.16538114245489302,0.1289997100830078,359
32,0.13057570457458495,-1.1328125238418578,-8.109095001220703,0.16128775296900558,0.037001609802246094,364
33,0.13670990296772548,-1.0837053571428572,-8.047399997711182,0.1557266555690826,0.05099940299987793,371
34,0.12821867316961288,-0.9809896151224772,-8.268095334370932,0.15111286553822956,0.04299759864807129,377
35,0.1381929762401553,-0.9640443494846654,-8.823882136234017,0.1,0.6400001049041748,463
