Round,Avg_Loss,Avg_Reward,Avg_Q_Value,Epsilon,Duration,Total_Steps
66,9.52632261618324,-0.7542119683778804,6.880111113838527,0.1,0.2670011520385742,1190
67,9.949710369110107,-0.800000011920929,7.870399761199951,0.1,0.03899788856506348,1195
68,11.909980659484864,-0.8268125081062316,7.749061985015869,0.1,0.14999938011169434,1220
69,11.667327788472175,-0.8378125190734863,7.994392877817154,0.1,0.472001314163208,1300
70,10.482608562492462,-0.7583207918936947,8.559856736516378,0.1,0.48799943923950195,1383
71,11.61806969344616,-0.7946777273900807,9.121737658977509,0.1,0.19099998474121094,1415
72,8.399810449497119,-0.6884290660555298,9.215258933402396,0.1,0.21900177001953125,1452
73,9.229652862799796,-0.7318667824331083,9.124320155695864,0.1,0.21899795532226562,1490
74,7.971730547646682,-0.7131185050432881,8.13964274028937,0.1,1.1040003299713135,1682
75,7.462038928462613,-0.6694052421277569,8.110238336747692,0.1,0.18700003623962402,1713
76,7.523287694984012,-0.6478472332159678,8.711930518680148,0.1,0.5110006332397461,1803
77,7.676883968439969,-0.6536221612583507,8.700794740156693,0.1,0.13299989700317383,1825
78,9.260297775268555,-0.6990740972536581,8.35849274529351,0.1,0.16300129890441895,1852
79,9.111091096060617,-0.7234375059604645,8.291028785705567,0.1,0.1979982852935791,1887
80,10.434622987286074,-0.6369248029294905,11.571174184044638,0.1,1.078000545501709,2069
81,11.602446269989013,-0.6118750154972077,12.244368362426759,0.1,0.03299903869628906,2074
82,11.271460480160183,-0.6894965345660845,12.732845544815063,0.1,0.20200228691101074,2110
83,11.290254258591196,-0.6294497334114884,12.297633938167406,0.1,0.5520009994506836,2202
84,9.978302261352539,-0.606000011920929,13.716518493652345,0.1,0.7369983196258545,2327
85,10.103325099530428,-0.5965896897989771,13.755892023832901,0.1,0.6750004291534424,2442
86,13.51094159980615,-0.5141276015589634,19.75166153907776,0.1,0.14800071716308594,2466
87,17.72962247241627,-0.5784091082486239,20.038097034801137,0.1,0.0709991455078125,2477
88,16.095840148436718,-0.6032852618358074,19.589086269721008,0.1,0.9610021114349365,2633
89,9.80255765500276,-0.5224184918662776,18.542839382005774,0.1,0.14599943161010742,2656
90,14.503716303377736,-0.6081951607246788,19.791884714243363,0.1,0.3060019016265869,2705
91,15.021306172013283,-0.590917975641787,19.799375891685486,0.1,0.10000157356262207,2721
92,12.797488988407197,-0.5742628633855812,18.32994245329211,0.1,1.432997226715088,2969
93,12.727663148533214,-0.5596022819930857,18.982172966003418,0.1,0.3600008487701416,3024
94,15.611847114562988,-0.6126562811434269,18.629281997680664,0.1,0.12800002098083496,3044
95,14.869805431947476,-0.5662919262923846,19.265726077847365,0.1,0.5009992122650146,3126
96,17.16682735170637,-0.5624107222471918,21.63780950818743,0.1,0.4270031452178955,3196
97,20.08450344989174,-0.6128289558385548,25.355139381007145,0.1,0.13000035285949707,3215
98,26.75915870666504,-0.5059374928474426,25.34174041748047,0.1,0.03599667549133301,3220
99,17.994372533427345,-0.5371093820366595,28.552765104505752,0.1,0.21000266075134277,3256
100,25.821724132049916,-0.5572674513556236,30.796283721923828,0.1,0.25899791717529297,3299
101,22.220311313379007,-0.5529713142113607,30.596866357521932,0.1,0.3789999485015869,3360
102,28.0971878528595,-0.5698625113964081,34.0226028137207,0.1,0.7749993801116943,3485
103,33.65721832002912,-0.5747209973633289,37.333968094417024,0.1,0.17100048065185547,3513
104,33.54122483102899,-0.5539473750089344,38.9531653554816,0.1,0.1230006217956543,3532
105,32.71472579554508,-0.5546546134509538,39.76852949042069,0.1,0.5749983787536621,3627
106,29.634075316515837,-0.5477746287078569,40.41275625517874,0.1,0.41100263595581055,3693
107,32.495178296015816,-0.5602163534898025,40.05834696843074,0.1,0.08099865913391113,3706
108,30.32232997634194,-0.4373579553582452,41.72850036621094,0.1,0.06399869918823242,3717
109,34.722161046920284,-0.5712701716730672,40.92963243299915,0.1,0.39100146293640137,3779
110,28.244409556048257,-0.581651788524219,38.083609621865406,0.1,0.8689985275268555,3919
111,21.94863141666759,-0.5997159264304421,33.43092155456543,0.1,0.07200264930725098,3930
112,23.580708150863646,-0.5327500164508819,33.24162272135417,0.1,0.4499979019165039,4005
113,23.606152296066284,-0.5086197987198829,32.464806175231935,0.1,0.37200212478637695,4065
114,35.934484362602234,-0.5126302217443784,32.973111947377525,0.1,0.07799768447875977,4077
115,30.306715897151403,-0.6717634052038193,33.476821763174875,0.1,0.07899975776672363,4091
116,20.7211882909139,-0.5728125035762787,32.46327832539876,0.1,0.09599947929382324,4106
117,23.798044006029766,-0.5910807351271311,31.152392943700153,0.1,0.1620023250579834,4130
118,17.155072318183052,-0.5227430595291985,31.306766933865017,0.1,0.06199836730957031,4139
119,26.05778549652732,-0.5527106414842342,35.762029205237965,0.1,1.1030001640319824,4320
120,41.14883582158522,-0.5746093825860457,41.55124412883412,0.1,0.28599977493286133,4364
121,26.38519204109907,-0.5244628943502903,40.182751417160034,0.1,1.0050010681152344,4524
122,26.529628740549086,-0.5226250065863133,38.975419721603394,0.1,1.1889777183532715,4724
123,42.566270642810395,-0.5434027796404229,42.65724521213107,0.1,0.43600010871887207,4796
124,33.77881656771414,-0.5219357372278038,43.35218029224409,0.1,1.650998830795288,5079
125,29.900221162281753,-0.49936540674024066,44.108458496197905,0.1,1.8139984607696533,5372
126,34.65708829535813,-0.5329149653677081,46.568551423119715,0.1,0.36999964714050293,5433
127,35.35916034258329,-0.49468750380552734,45.16393162653996,0.1,0.38700056076049805,5498
128,27.928433747127137,-0.5009698333411381,48.820919036865234,0.1,0.18500137329101562,5527
129,45.54413635080511,-0.5040719748446436,48.613800858006336,0.1,0.3190021514892578,5560
130,33.1420822386839,-0.5468112327614609,47.456559940260284,0.1,0.3589968681335449,5609
131,42.19111554439251,-0.5237980866088316,44.72623604994554,0.1,0.337998628616333,5661
132,75.95881468909127,-0.523381698344435,44.71553039550781,0.1,0.18199992179870605,5689
133,39.78249522050222,-0.4843587305707236,43.37440663576126,0.1,0.5930008888244629,5785
134,44.52264476659005,-0.5165296092368009,41.253482718216745,0.1,0.35899925231933594,5842
135,29.96729627251625,-0.4800781225785613,43.198389768600464,0.1,0.10299992561340332,5858
136,59.01494895087348,-0.5343749854299757,42.05880610148112,0.1,0.06000089645385742,5867
137,28.90744196496359,-0.5078506148079547,42.08561646066061,0.1,0.5010015964508057,5949
138,33.98283541829962,-0.4754111892298648,42.13582932321649,0.1,0.11899852752685547,5968
139,29.064604199849644,-0.49302884821708387,43.20230821462778,0.1,0.15700006484985352,5994
140,48.583237263807064,-0.4887340785401642,49.42146364442862,0.1,0.9709992408752441,6151
141,41.94964630320921,-0.4760593259233539,54.876964439780025,0.1,0.3750004768371582,6210
142,60.8874516426378,-0.5260847973026288,57.45668003057978,0.1,0.9239997863769531,6367
143,63.295974287875865,-0.5089268444120422,59.807867419812105,0.1,0.76300048828125,6496
144,95.67063786001766,-0.505165443350287,66.56432495117187,0.1,0.5230002403259277,6581
145,71.40057152783105,-0.4744982828787707,62.703135604158454,0.1,1.2950000762939453,6799
146,68.10165593118379,-0.569696972767512,65.88698439164595,0.1,0.220001220703125,6832
147,68.40556473731995,-0.5371875017881393,63.779177856445315,0.1,0.19699978828430176,6852
148,56.7953408688915,-0.4737563875256752,68.23309474088708,0.1,0.33899903297424316,6901
149,52.194578482180226,-0.5045918384376837,69.24639051787707,0.1,0.3400001525878906,6950
150,52.3439096900133,-0.5011718809031523,72.11948350759653,0.1,0.34200143814086914,7002
151,81.21885909071756,-0.4745269562673131,74.94923390379739,0.1,0.6839993000030518,7111
152,137.84225640250642,-0.47739684596223736,84.16267187618514,0.1,0.656001091003418,7214
153,69.21239932378133,-0.48906250794728595,83.43684832255046,0.1,0.08099865913391113,7226
154,99.50299383061272,-0.4481305815279484,85.08007485525948,0.1,0.3490004539489746,7282
155,71.25355573133989,-0.430681819265539,77.48980990323153,0.1,0.07500100135803223,7293
156,71.47157796223958,-0.4567708447575569,78.93690490722656,0.1,0.037999868392944336,7299
157,195.2012083033006,-0.4780687996380621,104.3002769826985,0.1,1.7009968757629395,7577
158,239.6900472484651,-0.44761783470872973,131.2245144453205,0.1,0.3729982376098633,7638
159,224.85478801275852,-0.4974482287845668,131.0395248683952,0.1,1.0840017795562744,7807
160,235.1196576799665,-0.462455364210265,134.9701939174107,0.1,0.21300005912780762,7842
161,217.22212826426903,-0.49185773310948855,133.60361810425417,0.1,1.1559979915618896,8041
162,244.17207368214926,-0.484375,140.518035252889,0.1,0.07299971580505371,8053
163,222.37059577533176,-0.45532366228955135,143.59454225812638,0.1,0.8400003910064697,8193
164,185.73260180155435,-0.4238281200329463,142.49083518981934,0.1,0.07900023460388184,8205
165,313.852095933394,-0.43545454821803353,151.39542222456498,0.1,0.3509995937347412,8260
166,296.2679754098256,-0.5162760447710752,152.8681484858195,0.1,0.15199947357177734,8284
167,209.22717056274413,-0.43031250635782875,159.047466023763,0.1,0.0970010757446289,8299
168,302.382186963008,-0.4531250040118511,157.94850246722882,0.1,0.15999913215637207,8325
169,359.57932245409165,-0.45399071558101756,158.23067886764937,0.1,0.46000194549560547,8399
170,393.5760954559826,-0.5157786957064613,158.5629044829822,0.1,0.37599873542785645,8460
171,382.05033592555833,-0.5112771748200707,166.71937063465947,0.1,0.27899932861328125,8506
172,394.84724571393883,-0.47106658116630884,181.48605884054433,0.1,1.4130001068115234,8736
173,672.0469266222669,-0.5083401034791748,216.89300517292764,0.1,0.4490046501159668,8813
174,535.5920723715981,-0.5043784411071421,236.02106735732528,0.1,0.552391767501831,8904
175,407.29991722106934,-0.5035156272351742,225.046630859375,0.1,0.05200004577636719,8912
176,1348.4427684437144,-0.45629735607089417,225.17600920706084,0.1,0.20099973678588867,8945
177,844.4435748769276,-0.5132229523872262,252.65991757520987,0.1,0.4100003242492676,9012
178,417.66051818847654,-0.483375004529953,258.68824951171877,0.1,0.1569993495941162,9037
179,681.698211559351,-0.47832880698252417,252.22952071480128,0.1,0.42299914360046387,9106
180,1704.382448698345,-0.5017269841934505,249.46268422980057,0.1,0.11200118064880371,9125
181,788.1645147150213,-0.48267046971754596,245.00704539905894,0.1,0.07199859619140625,9136
182,2404.4439842917704,-0.4664772721854123,255.7124619917436,0.1,0.06800317764282227,9147
183,646.3540782020206,-0.47748016672474997,249.44087800525483,0.1,0.38899755477905273,9210
184,1015.7517832040787,-0.46682617673650384,258.22542877197264,0.1,1.052640438079834,9370
185,917.3462204731686,-0.505963920287683,273.5251095194212,0.1,0.44699954986572266,9441
186,668.6630968813037,-0.4521516507766286,312.6834351586514,0.1,0.38899993896484375,9502
187,1612.164745462352,-0.4259698324162385,302.0557761356748,0.1,0.18400192260742188,9531
188,655.8097429547992,-0.45017858147621154,277.0303170340402,0.1,0.22499847412109375,9566
189,1500.4625986177628,-0.4421446921482478,284.1695667423614,0.1,0.4650003910064697,9639
190,736.2001424153646,-0.45614584535360336,286.1311309814453,0.1,0.19999980926513672,9669
191,670.8161254882813,-0.4696875035762787,314.07228698730466,0.1,0.034999847412109375,9674
192,2933.742069005966,-0.4476562552154064,290.6322240829468,0.1,0.10300016403198242,9690
193,1404.7753595624652,-0.5031808090529272,303.72071838378906,0.1,0.7415211200714111,9802
194,747.0951900482178,-0.44153645386298496,306.14836502075195,0.1,0.07500028610229492,9814
195,1044.2353843542246,-0.45839844472133195,277.46341587946966,0.1,0.6440000534057617,9918
196,756.5696225533119,-0.4732572198487245,276.3413699223445,0.1,0.3110013008117676,9970
197,784.4074682938425,-0.4648026369119945,269.5027783042506,0.1,0.45999884605407715,10046
198,696.3951876958212,-0.5080295180281004,260.7958420647515,0.1,0.23099923133850098,10082
199,590.1694557436051,-0.44964718434118456,269.0089687224357,0.1,0.2030010223388672,10113
200,1307.0455869249076,-0.47511622346629784,269.1195381101498,0.1,0.7719993591308594,10234
201,1946.772597804214,-0.49957386472008447,263.5726595791903,0.1,0.2109999656677246,10267
202,1304.3644392747146,-0.48812500994939073,305.6482896071214,0.1,0.4120004177093506,10332
203,1362.9579001034008,-0.5442095688160729,309.67332727768843,0.1,0.11399960517883301,10349
204,1622.253931611449,-0.48173077469998665,332.7865027123755,0.1,0.5885217189788818,10440
205,1235.336052267892,-0.44912946947983334,348.7526715959821,0.1,0.5000007152557373,10510
206,2193.7899757834043,-0.49392234062885537,344.8735055362477,0.1,0.8269991874694824,10646
207,1706.2620586819119,-0.46730325122674304,303.94951403582536,0.1,0.32200098037719727,10700
208,1678.8102847828584,-0.44727328974826663,294.16458788105086,0.1,0.3269984722137451,10751
209,1467.3175371170043,-0.4963281325995922,301.7594959259033,0.1,0.24300050735473633,10791
210,998.9946573893229,-0.5183333476384481,302.46826171875,0.1,0.09799933433532715,10806
211,612.017786026001,-0.4492621537711885,305.620787302653,0.1,0.21799969673156738,10842
212,1869.1449871356672,-0.510552887733166,306.71504563551684,0.1,0.4270005226135254,10907
213,2096.946098836263,-0.5045312518874804,332.3896962483724,0.1,0.18899965286254883,10937
214,1484.7551110386848,-0.45941162679810077,362.22494649887085,0.1,0.7720000743865967,11065
215,1606.6254136537937,-0.4773090944558687,391.4326638491894,0.1,1.7330002784729004,11358
216,2248.710210164388,-0.4368055611848831,360.43567911783856,0.1,0.11499810218811035,11376
217,912.6078211466471,-0.4394097261958652,368.64820353190106,0.1,0.05900001525878906,11385
218,1035.2373301188152,-0.46393229595075053,365.69960530598956,0.1,0.29399967193603516,11433
219,582.9512049357096,-0.4561756011985597,374.5376136416481,0.1,0.13199973106384277,11454
220,1827.395853815852,-0.4755489864462131,345.05571251946526,0.1,0.4480009078979492,11528
221,1459.7266500020764,-0.46814594440853474,325.36647395497744,0.1,1.1369998455047607,11722
222,1261.3556920831854,-0.4727881554659311,322.0423132165686,0.1,0.4630002975463867,11799
223,1283.5726887629583,-0.47277644792428386,304.079477750338,0.1,0.16099953651428223,11825
224,677.8621470133463,-0.5345486104488373,311.46765475802954,0.1,0.059999942779541016,11834
225,2154.1509137153625,-0.4933105460368097,310.6015372276306,0.1,0.18500375747680664,11866
226,2971.271751990685,-0.4044471257008039,300.5106529822716,0.1,0.08299803733825684,11879
227,1261.5156476338705,-0.4715104219814142,290.4707397460937,0.1,0.3560028076171875,11939
228,1349.0155047741564,-0.4530849386920859,312.08050341483874,0.1,1.5759971141815186,12212
229,1287.52465834441,-0.461246148487668,332.7516074474947,0.1,0.9620003700256348,12374
230,2019.9629966349917,-0.46551556769280117,402.00339326969845,0.1,1.525001049041748,12631
231,1821.9017533694996,-0.4584558871300781,425.8624563778148,0.1,0.3990004062652588,12699
232,3898.876043701172,-0.48543750405311586,407.70763916015625,0.1,0.154998779296875,12724
233,1376.885078212193,-0.45770089754036497,417.20575430733817,0.1,0.4089996814727783,12794
234,3053.007591671414,-0.48062996400727165,432.6357182094029,0.1,0.754000186920166,12920
235,1724.738282423753,-0.4774839801666064,413.0947038699419,0.1,0.23100042343139648,12959
236,1365.9503535708866,-0.47333192885727493,397.6300444731841,0.1,0.45099925994873047,13033
237,868.2585362025669,-0.518303564616612,416.99603271484375,0.1,0.04200315475463867,13040
238,2806.9729243259803,-0.4427696124595754,442.9692502489277,0.1,0.3059968948364258,13091
239,3726.256699371338,-0.40898437723517417,407.2599563598633,0.1,0.12100005149841309,13111
240,2977.232630976924,-0.451504643868517,400.948723687066,0.1,0.1680011749267578,13138
241,2289.8325287244334,-0.45862772070473024,402.91020079429103,0.1,0.9510006904602051,13299
242,1415.3367059881036,-0.4627367447723042,383.2062812573982,0.1,0.20799946784973145,13332
243,1473.782127380371,-0.5699218958616257,409.1200981140137,0.1,0.0560002326965332,13340
244,2906.614469418967,-0.4679515451718007,450.617277170593,0.1,1.4490036964416504,13567
245,2348.5713536359262,-0.4543931212114251,493.3701109955276,0.1,0.41699671745300293,13636
246,4834.502584134615,-0.4474038500052232,463.1969759427584,0.1,0.3819997310638428,13701
247,3546.572918808251,-0.46761239084758255,495.20386277583606,0.1,0.6999995708465576,13815
248,2160.607715334211,-0.4344587115836995,508.6461857386998,0.1,0.3340001106262207,13871
249,2779.992456307683,-0.4493766229387392,470.01274322351645,0.1,1.1510024070739746,14064
250,5657.335358810425,-0.4509375024586916,489.9964225769043,0.1,0.24399828910827637,14104
251,4139.863073886969,-0.4691706737264609,509.853024996244,0.1,0.4589996337890625,14182
252,3693.3651919894746,-0.4905816014442179,503.83509402804907,0.1,0.21300005912780762,14218
253,8245.765234375,-0.5287499964237213,435.14638061523436,0.1,0.031000137329101562,14223
254,1735.4174499511719,-0.42138672433793545,495.6444797515869,0.1,0.0950019359588623,14239
255,7495.033614095052,-0.46531251271565754,494.2715657552083,0.1,0.09200191497802734,14254
256,4121.916395376849,-0.4825952048135909,528.6973106940061,0.1,0.8909962177276611,14405
257,3120.6433731390507,-0.4496173475469862,611.4449388153699,0.1,0.30299949645996094,14454
258,2927.769189314409,-0.4644176262346181,609.1162969415838,0.1,0.13000059127807617,14476
259,2127.6120011613175,-0.4413006805084847,616.2998343802788,0.1,0.2290019989013672,14513
260,2333.362971496582,-0.45882812291383746,624.748405456543,0.1,0.12999796867370605,14533
261,3702.388217017764,-0.492633927436102,629.5410650344122,0.1,0.12799954414367676,14554
262,4228.768547353819,-0.4392199658377226,631.8495346187622,0.1,0.7650017738342285,14683
263,5910.552870097913,-0.45649671829060506,593.3501562821237,0.1,0.23799896240234375,14721
264,4985.382155064174,-0.45572321849209924,673.7170715332031,0.1,1.0340039730072021,14896
265,3959.0203552246094,-0.44130722202465567,679.1531690140845,0.1,0.838996171951294,15038
266,8934.489332282024,-0.5135699789161268,648.8803800499958,0.1,0.5430002212524414,15130
267,4609.038279795276,-0.4631881528567774,725.0428229613625,0.1,1.1400036811828613,15323
268,5794.7811599543065,-0.46172840396563214,667.2001090344088,0.1,0.48299551010131836,15404
269,6604.360585239955,-0.4720535844564438,677.1981392996652,0.1,0.2240004539489746,15439
270,3459.4732404436386,-0.44955358193034217,713.01613507952,0.1,0.13199949264526367,15460
271,6418.551557691169,-0.45833333866162734,694.5916124748461,0.1,0.9609999656677246,15625
272,7245.099169690462,-0.4777399351670279,647.17387050249,0.1,1.2420001029968262,15836
273,7093.021604999743,-0.4615131555419219,701.6969957853619,0.1,0.5759983062744141,15931
274,2467.5346259351045,-0.4403301901974768,680.6812928397701,0.1,0.3170011043548584,15984
275,2835.115034773543,-0.42858953572608327,684.7822694520693,0.1,0.2219991683959961,16021
276,5514.578457740045,-0.4510584694723929,672.0180427797379,0.1,0.19099926948547363,16052
277,4468.105774222068,-0.4411862925129029,744.4715570246132,0.1,0.6250011920928955,16155
278,2797.915817260742,-0.4211425883695483,686.2951908111572,0.1,0.19500136375427246,16187
279,5768.115081232244,-0.504062506556511,685.9851745605469,0.1,0.33899784088134766,16242
280,3482.804375491925,-0.4730410526937513,621.9129201405084,0.1,0.4160025119781494,16309
281,2252.028879801432,-0.3768229087193807,666.4037577311198,0.1,0.10399961471557617,16315
282,5566.641869843896,-0.46912313804994177,623.5555495836248,0.1,1.2349989414215088,16516
283,6275.811417032877,-0.45977083683013914,632.4857279459635,0.1,0.4549996852874756,16591
284,5499.182362682414,-0.4584610900788937,584.9282330207105,0.1,0.33100080490112305,16644
285,4774.216179677603,-0.4316554116236197,561.4155491184544,0.1,1.0940015316009521,16829
286,2942.0348002115884,-0.4279513822661506,621.9420810275608,0.1,0.05599784851074219,16838
287,3147.6880683898926,-0.3985351659357548,586.2643203735352,0.1,0.10100150108337402,16854
288,3354.871930290671,-0.5042279529220918,576.6234543744256,0.1,0.10599875450134277,16871
289,1925.2304789225261,-0.4216145873069763,572.7062649197048,0.1,0.11600446701049805,16889
290,2142.5543380737304,-0.5019531264901161,584.6882186889649,0.1,0.12199521064758301,16909
291,7196.078362464905,-0.4851562464609742,588.113278388977,0.1,0.19700050354003906,16941
292,5233.126765799015,-0.45435506073718374,586.5578324338223,0.1,0.5729999542236328,17035
293,5314.932369995117,-0.47578125558793544,580.2274200439454,0.1,0.24599981307983398,17075
294,3800.5303308396115,-0.48794643793787273,577.7390223911831,0.1,0.2500040531158447,17117
295,2834.9532194010417,-0.45020833472410837,590.2025846354167,0.1,0.44199633598327637,17192
296,4017.091032707828,-0.4542385105086469,566.5732839299344,0.1,0.529998779296875,17279
297,5293.4233931055605,-0.47915684825406885,568.6790267656435,0.1,0.6460003852844238,17385
298,4776.6793797084265,-0.4600000045129231,556.2782775878907,0.1,0.21100068092346191,17420
299,2743.821466064453,-0.5187499940395355,626.0507080078125,0.1,0.03399968147277832,17425
300,2851.0834165300644,-0.43441220763183774,609.0713239397321,0.1,0.5119993686676025,17509
301,5860.126935849463,-0.45755533554458855,665.236619297703,0.1,2.4770004749298096,17910
302,4029.6896063294075,-0.4566445711887244,689.3259838373974,0.1,0.5989999771118164,18009
