Round,Avg_Loss,Avg_Reward,Avg_Q_Value,Epsilon,Duration,Total_Steps
1,0,0,0,1.0,0.05699872970581055,0
2,0,0,0,1.0,0.031002521514892578,0
3,0,0,0,1.0,0.06200003623962402,0
4,0,0,0,1.0,0.0279998779296875,0
5,0,0,0,1.0,0.05699753761291504,0
6,0,0,0,1.0,0.03300189971923828,0
7,9.533616474696569,-1.126785738127572,-0.08965744008310139,0.9655206468094844,0.09999942779541016,7
8,10.165103149414062,-1.2646875381469727,-0.4318081259727478,0.9416228069143757,0.04000067710876465,12
9,8.73383887608846,-1.2253472407658894,-0.9828982883029513,0.9000874278732445,0.06399798393249512,21
10,8.654069602489471,-1.3039062321186066,-1.5366901755332947,0.8647077305675338,0.06399965286254883,29
11,9.054953495661417,-1.3736979564030964,-1.53208988904953,0.8390886103705794,0.04800128936767578,35
12,6.96577150925346,-1.201086964296258,-1.3165124136468638,0.7477194593032545,0.15900111198425293,58
13,4.986484576674068,-1.1983456331140854,-1.6751468181610107,0.6866430931872001,0.12599992752075195,75
14,3.739649844169617,-1.2023437559604644,-2.331089735031128,0.653073201944699,0.072998046875,85
15,2.561377078294754,-1.1230468973517418,-2.5244457721710205,0.6274028820538087,0.06800150871276855,93
16,3.3629980981349945,-1.2476562783122063,-2.716549038887024,0.6027415843082742,0.06599903106689453,101
17,2.2763378179591633,-1.021535362886346,-2.831488153208857,0.5371084840724134,0.16700053215026855,124
18,2.046194249933416,-1.1190341277555986,-2.8432594429362905,0.5082950737585841,0.08299946784973145,135
19,1.73767770992385,-1.000173654821184,-2.8897468513912625,0.4858739637363176,0.07700181007385254,144
20,2.0022175312042236,-1.237760454416275,-3.1890745957692466,0.47147873742168567,0.05299806594848633,150
21,2.1758812495640347,-1.2676339915820531,-2.973435197557722,0.45522245551230495,0.059000253677368164,157
22,2.2787918567657472,-1.1953125238418578,-3.0733471870422364,0.4439551321314536,0.03800225257873535,162
23,1.4237170499913834,-1.1350184258292704,-3.2087852043264053,0.3743896431025813,0.26399803161621094,196
24,1.0290588974952697,-1.0084375262260437,-3.1676212310791017,0.36512303261753626,0.0390009880065918,201
25,1.4412551403045655,-1.0903125762939454,-3.2269421100616453,0.35608578229633,0.039998769760131836,206
26,1.0360016226768494,-1.1583333512147267,-3.3184744119644165,0.3455358541129786,0.04700016975402832,212
27,1.5846990517207555,-1.4486607653754098,-3.4116465023585727,0.33362200135903064,0.06299924850463867,219
28,1.0407735454408746,-1.0763158096294654,-3.4666321214876676,0.2757603055760701,0.2960011959075928,257
29,0.4662981629371643,-0.8193750262260437,-3.3317461013793945,0.2689348941735696,0.043999671936035156,262
30,0.6876894772052765,-0.9990625262260437,-3.4437233924865724,0.26227842021373715,0.0410008430480957,267
31,0.7047039568424225,-0.9716986081292552,-3.775447810849836,0.192217783647157,0.43399930000305176,329
32,0.5664953529834748,-0.846562534570694,-4.008952236175537,0.18746015382974018,0.0449979305267334,334
33,0.5974130511283875,-0.9125000238418579,-3.9606005191802978,0.182820281282489,0.04600238800048828,339
34,0.46697606089748916,-0.9294106205807456,-4.294689163377013,0.12304040492325048,0.6319994926452637,418
35,0.2997559571550006,-0.9781250130562555,-4.588472706930978,0.11074712159185099,0.1699995994567871,439
36,0.2506990841141454,-0.86681136433725,-4.852716278146814,0.1,0.4399995803833008,493
37,0.2517173181880604,-0.8902699053287506,-5.27445819161155,0.1,0.17699885368347168,515
38,0.21323035086194675,-0.799505215883255,-5.491208942731221,0.1,0.490999698638916,575
39,0.18757977485656738,-0.9456249833106994,-5.771028232574463,0.1,0.04600048065185547,580
40,0.2031125009059906,-0.8362499952316285,-5.749009704589843,0.1,0.03999948501586914,585
41,0.22695705081735337,-0.816796882876328,-5.910082936286926,0.1,0.2141251564025879,613
42,0.23147302120923996,-0.8411458631356558,-6.067035675048828,0.1,0.05399894714355469,619
43,0.2247971064514584,-0.9897569484180875,-5.966657267676459,0.1,0.07399868965148926,628
44,0.3500471279025078,-0.6928124845027923,-5.929789447784424,0.1,0.045000553131103516,633
45,0.24942142367362977,-0.8031250059604644,-6.131242561340332,0.1,0.044001102447509766,638
46,0.26925031741460165,-0.7927083437641461,-6.393514331181844,0.1,0.2370002269744873,668
47,0.21439456797026574,-0.8189494793719434,-6.7613793636890165,0.1,0.3659977912902832,715
48,0.2242558479309082,-0.9862500309944153,-7.047287464141846,0.1,0.04800009727478027,720
49,0.17047094775379196,-0.7470299697611943,-6.740886621238771,0.1,1.1960008144378662,841
50,0.14057446050423164,-0.7506365919554675,-7.066518783569336,0.1,0.21000003814697266,868
51,0.15641228433536447,-0.7047554526640021,-7.157588336778724,0.1,0.18499994277954102,891
52,0.1230082872013251,-0.5934895922740301,-7.224990288416545,0.1,0.05600333213806152,897
53,0.18745868746191263,-0.6300293002277613,-6.879930853843689,0.1,0.27199745178222656,929
54,0.17390800223631017,-0.6628676661673714,-7.134526364943561,0.1,0.14299845695495605,946
55,0.1929484854141871,-0.7223958472410837,-7.312282721201579,0.1,0.051003456115722656,952
56,0.29041638467460873,-0.7488281279802322,-7.2227606773376465,0.1,0.31799888610839844,992
57,0.23377090096473693,-0.6665625154972077,-7.0733819007873535,0.1,0.08400082588195801,1002
58,0.2471517413011137,-0.6930129812011179,-6.859889057447326,0.1,0.39999961853027344,1055
59,0.2659239023923874,-0.6949218830892018,-6.583292722702026,0.1,0.22799944877624512,1083
